희망구매유형,수요기술명,수요기술번호,진행상태,구매희망시기,희망기술개요,키워드,기술도입지원기관,기술지표상세,기술구매조건,기술이전계약설명,기술이전계약유형,정액기술료,기타계약조건,경상기술료,기술센터지역,수집일시,정보충실도
"기술매매,기술협력",주름관카트리지 충전용그리스펌프개발,00000000054,컨설팅매칭,9개월이내,주름관카트리지 충전용그리스펌프개발,"주름관카트리지,충전용,그리스펌프,,",협의후 결정,충전용 그리스 펌프 개발,협상 후 구매,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,대구,2026-07-10,3
"기술매매,기술협력","헬스케어, IoT&스마트홈, e-러닝",00000000055,컨설팅매칭,9개월이내,협의후 결정,"Brain computer Interface기술 ,헬스케어,IoT&스마트홈, e-러닝 ,",협의후 결정,"헬스케어, IoT&스마트홈, e-러닝","Brain computer Interface기술을 중점적으로 연구하여 왔습니다. 금번 수요 발굴단을 통해서, 저희 기술과 융합하여 헬스케어, IoT&스마트홈, e-러닝 분야 사업에 진출 할 수 있는 정부 출연기관 보유기술을 이전 원함",협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,대구,2026-07-10,2
"기술매매,기술협력",동영상 자동 트래픽 분산서비스,00000000056,컨설팅완료,9개월이내,"기술도입필요성 및 관련기술니즈
- 동영상 스트리밍을 위한 과다 접속시 트래픽문제가 발생하므로 이를 분산시킬수 있는 모니터링/제어 기술이 필요함
- 링크방식 과부하를 분산시킬 수 있는 기술 필요


기타
- 예비창업지원사업을 통하여 학습코칭센터를 운영중이나 경역악화 상태인 관계로 신규사업의 추진방향성을 고민중에 있음
- 사업계획서 작성에 대한 코칭이 필요한 상황임","동영상,자동트래픽,분산서비스,,",협의후 결정,동영상 자동 트래픽 분산서비스 애로기술 개발,협상후,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,대구,2026-07-10,3
"기술매매,기술협력,기술지도",Back light에 QD film을 적용해 색재현율을 높이는 기술,00000000057,컨설팅완료,9개월이내,Quantum Dot display dyd barrier film를 차기사업 item으로 개발,"Quantum Dot Display,Film,나노미터 크기의 반도체 결정체,,",협의후 결정,Back light에 QD film을 적용해 색재현율 높이는 기술,협상 후,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,대구,2026-07-10,3
"기술매매,기술협력","자동문, 3D프린터 사업화 기술",00000000058,컨설팅완료,9개월이내,"자동문, 3D프린터 사업화 를 위한 신기술 발굴 이전","자동문,3D 프린트,신기술 발굴,,",협의후 결정,새로운  3D프린터 사업화 를 위한 신기술 발굴 이전,협의 후,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,대구,2026-07-10,3
"기술매매,기술협력",개발품 수요처 확보,00000000059,컨설팅매칭,6개월이내,실링구조가 개발된 나이프게이트밸브(특허) 개발품 성공판정,"밸브,나이프게이트 밸브,실링구조,,",협의후 결정,나이프게이트밸브 개발품 수요처 확보,협상 후 추진,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,대구,2026-07-10,3
"기술매매,기술협력,기술지도",카테티,00000000060,수요기업만족도체크,즉시,수정란의 주입에 소요되는 시간이 길어져 수정란 이식의 전체적인 효율을 떨어뜨리는 문제점이있어 본 문제를 해결하기 위한 기술 필요,"카테티,수정란 이식용,,,",협의후 결정,신제품개발,"과제연계, 시제품제작 지원 등",협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,대구,2026-07-10,3
기술매매,지능형 교통정보 산출 기술,00000000061,컨설팅완료,12개월이내,협의후 결정,"교통정보,네비게이션,교통 시스템,,",협의후 결정,신제품 개발,지능형 교통정보 산출기술에 대한 특허 양도를 희망함,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,경기대진,2026-07-10,2
"기술매매,라이센스,기술협력","패각(산화칼슘, 탄산칼슘)을 이용한 탈취, 향균제품 제조",00000000062,컨설팅완료,3개월이내,"패각(조개껍질)을 소성(열처리) 하여
높은 알카리 원료를 바탕으로 탈취, 항균 제품 제조
 탈취, 항균 수용액(패브리즈유사)","패각,탈취,향균,생활,산화칼슘",협의후 결정,"신제품 개발,신공정 개발",3천만원 이하,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,서울,2026-07-10,3
"기술협력,기술지도",ㄺㄷㅅㄱㄷㅅㄱㄷㅅㄱㄷ,00000000064,신청,3개월이내,ㄱㄷㅎㅅㄱㄷㅅㅎㄱㄷ,"ㄳㄳㄱㄷ,ㅅㄱㄷㅅㄱㄷ,ㅅㄱㄷㅅㄱㄷ,,",협의후 결정,ㅇㄴㄹㅇㄴㄹㅇㄴ,ㄱㄷㅅㄱㄷㅅㄱㄷㅅㄱㄷ,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,대구,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",MR 또는 ER 유체를 활용한 유압시스템 구조물 설계 및 제어 기술,00000000065,사업화모니터링,즉시,"1. 수요기술의 개요 
유공압정비기기 및 하이테크 정비기기에서 유압을 안전하게 제어하고 설계할 수 있는 기술 
2. 수요기술의 배경 
국내 자동차정비기기 시장은 ①국내 자동차 보유대수 증가, ②새로운 제품유형이 요구되는 차종변경, ③고속도로증설에 따른 잠재수요 증가, ④자동차 환경규제 강화, ⑤주수요처인 정비업체들이 고가신규장비 수요를 발생시키는 중대형 부분정비업체로의 변신 등으로 정비기기관련 수요확대가 이루어지면서 높은 시장성장세를 나타내고 있음.
이에 본 수요기업은 최근 자동차 및 기타 운송기계에 폭 넓게 적용되고 있는  MR 또는 ER유체를 활용하여 자동차 정비기기의 유압시스템에 적용하고자 함.
3. 수요기술의 내용 
기존 유압시스템에 비해 MR 또는 ER유체를 정비기기에 적용할 경우, 시스템의 구조도 간단해 지고, 안정성도 크게 증가할 수 있다는 판단 하에 수요기술을 탐색하기로 결정함.","자동차,정비기기,MR,ER,유압시스템",인하대학교산학협력단,신제품 개발,"국내 자동차 정비기기에 직접 적용할 예정인 만큼, 향후 2년내 양산화 가능한 기술 희망(TRL5단계 이상)",협의후 결정,기술양도(매매),55000000,협의후 결정,0,충남,2026-07-10,4
"기술매매,라이센스,기술협력,기술지도",소형 라이다 센서 기술,00000000066,사업화모니터링,즉시,"1. 수요기술의 개요 
라이다 (Light detection and Ranging, Lidar)란 레이저를 이용하여 거리를 측정하는 기술로서, 자동차용 라이다는 주행중인 차량이 앞 차와의 충돌을 피하거나 또는 충격을 최소화할 수 있도록 차간 거리를 실시간으로 측정하여, 경고 또는 차량 자동 제어를 할 수 있도록 하는 장치임 
2. 수요기술의 배경 
최근 자동차의 안전 주행을 위한 전자 장치가 급격히 늘어나고 있으며, 궁극적 목표인 무인 자동차 시대를 위해서는 자동차 차량 거리 제어를 위한 센서 시스템의 상용화가 필수임 유럽은 2014년부터 출고되는 신차에 라이다와 같은 충돌 방지용 차량 거리 센서 장착을 권고하고 있으며, 이에 대해 차량 성능 지표에 3점 이상의 점수를 부여하고 있어, 사실상 라이다 장착을 법규화하고 있는 추세임 
3. 수요기술의 내용 
- 감지영역 : 1~10m@150kph 이내 
- 측정 정확도 : 거리±0.1 m (±10%), 속도±2kph (±10%) 
- 레이저 출력 : 70W peak, 905nm, Eye-safety(Class 1M) 규격준수","라이다,센서,차량,거리,",광주과학기술원,신제품 개발,양산화 가능한 기술 희망(TRL5단계 이상),부분한정전용실시권,기타,50000000,"정액기술료 75,000,000 원
경상기술료 매출액의 3%",25000000,충남,2026-07-10,4
"기술매매,라이센스,기술협력,기술지도","철, 텅스텐 등 동종 또는 이종 금속 간 접착기술",00000000067,기술이전계약,즉시,"철, 텅스텐 등 동종 또는 이종 금속 간 접착기술로 용접이 아닌 접착제 등을 활용한 접착기술","이종 금속간 접착,접착제,,,",협의후 결정,신제품 개발,10억원 이내에서 해외기술도 도입가능,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,충남,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도",대형 음식물 처리기 관련 기술,00000000068,기술이전계약,즉시,"가정용이 아닌 아파트,공공기관,리조트,호텔용 등 대형 음식물 처리기 관련 기술 / 음식물 처리기 관련 기술이면 모두 가능하며, 최종결과물로서 발생되는 물(수증기)의 정화,악취제거(탈취),저전력,내구성(칼날수명) 등에 관한 기술","음식물 처리기,,,,",협의후 결정,신제품 개발,사업화 가능 기술,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,충남,2026-07-10,3
"기술매매,라이센스,기술협력,기술지도,M&A",SMT / LED 관련 기술 및 신기술,00000000069,기술이전계약,즉시,SMT / LED 관련 기술 및 신성장 동력으로서 좋은 기술,"SMT,LED,,,",협의후 결정,신제품 개발/ 사업 확장,신성장 동력으로서 좋은 기술 / M&A의 경우 50억 이하 좋은 기업(업종 무관),협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,충남,2026-07-10,3
라이센스,대파로 차 만드는 기술,00000000070,기술이전계약,6개월이내,"- 대파, 양파로 차를 만드는 기술 필요
- 대파, 양파로 음료수를 만드는 기술","대파,양파,차,음료수,",협의후 결정,신규사업진출,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,경북,2026-07-10,3
라이센스,"양파, 대파, 마늘 등의 식품 가공 기술",00000000071,기술이전계약,3개월이내,"- 양파, 대파, 마늘 등의 식품 가공 기술","양파,대파,마늘,식품 가공기술,",협의후 결정,신규사업진출,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,경북,2026-07-10,3
라이센스,생균제 관련 기술,00000000072,기술이전계약,6개월이내,"- 동물용의 약품이 아닌 사료첨가를 목적으로 사용되는 보조사료(사료첨가제)로 진행되는 생균제
- 높은 기호성으로 사료섭취량 증가
- 천연원료로만 사용하여 살아 있는 고농도의 효모와 배양물질
- 일당 증체량 증가
- 면역력 증강 장내 유익균총의 번식 증대 
- 조섬유 분해촉진","생균제,보조사료,사료첨가제,,",협의후 결정,기존사업영역확대,협의,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,경북,2026-07-10,3
기술매매,감초 추출물을 유효성분으로 함유 하는 비만 억제용 조성물 및 그제조방법,00000000073,신청,6개월이내,"- 감초 학명은 Glycyrrhiza uralensis Fisch로서 장미목 콩과에 속하는 다년생 식물 
- 감초의 단맛을 내는 성분인 glycyrrhizin은 지표 성분 >> 2.0% 이상 함유
- 항산화활성이 뛰어나며 항염 효능>>위궤양,간염,관절염 등 각종염증성 질환효능
- 항암 효능 및 신경세포 보호와 인지기능 개선 효능 등 다양한 생리활성보고
- 선행연구 결과 항비만 및 AMPK actlvator로서의 가능성이 확인되었음.","감초,다이어트,면역력,체온조절,식품소재",협의후 결정,신제품 개발,"기술이전 및 공동연구개발 가능 유무(제품화 시), 추가 도입기술 추진 가능 유무",협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,서울,2026-07-10,3
"라이센스,기술협력",백금 대체용 촉매 기술,00000000074,컨설팅완료,3개월이내,연료전지의 백금 촉매를 대체할 수 있는 촉매 기술,"촉매,백금 대체,연료전지,,",협의후 결정,신제품 개발,협의 후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,협의후 결정,강원,2026-07-10,3
"기술매매,라이센스,기술협력",심혈관계 질환 치료 조성물,00000000075,수요기업만족도체크,6개월이내,심혈관계 질환에 치료활성이 있는 천연물 유래 화합물,"심혈관계 질환,천연물,,,",제주대학교,신제품 개발,협의,협의후 결정,기술양도(매매),00000000,협의후 결정,0,충북,2026-07-10,4
"기술매매,라이센스,기술협력",성호르몬 진단 기술,00000000076,수요기업만족도체크,9개월이내,"성조숙증의 진단을 위해 필요한 성호르몬 검출 및 진단 기술
종래의 라만 검출법이 가지는 저감도성 및 화학발광분석법, 방사능기반 면역분석법에 비해 정확도 및 검출한계가 뛰어난 
성호르몬 진단 기술","성조숙증,성호르몬,진단,검출,",OO대학교,신제품 개발,협의,협의후 결정,기술양도(매매),0000000,협의후 결정,0,충북,2026-07-10,4
